Master Catalogue name,medicine_type_x,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,brand_x,mod_brand,exp_sku_brand,max_cosine,quantity_x,quantity_y,quantity_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,salt_flag,item_code,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
,tablet,1.0,himalaya,himalaya,himalaya,210971.0,himalaya lukol tablet 60s,tablet,himalaya,himalaya lukol 60s,himalaya lukol tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,210978.0,himalaya menosan tablet 60s,tablet,himalaya,himalaya menosan 60s,himalaya menosan tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,211024.0,himalaya pilex tablet 60s,tablet,himalaya,himalaya pilex 60s,himalaya pilex tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,211044.0,himalaya reosto tablet 60s,tablet,himalaya,himalaya reosto 60s,himalaya reosto tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,211052.0,himalaya rumalaya tablet 60s,tablet,himalaya,himalaya rumalaya 60s,himalaya rumalaya tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,211056.0,himalaya septilin tablet 60s,tablet,himalaya,himalaya septilin 60s,himalaya septilin tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,364394.0,himalaya abana tablet 60s,tablet,himalaya,himalaya abana 60s,himalaya abana tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,364419.0,himalaya confido tablet 60s,tablet,himalaya,himalaya confido 60s,himalaya confido tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,364423.0,himalaya diabecon tablet 60s,tablet,himalaya,himalaya diabecon 60s,himalaya diabecon tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,364483.0,himalaya purim tablet 60s,tablet,himalaya,himalaya purim 60s,himalaya purim tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,376669.0,himalaya speman tablet 60s,tablet,himalaya,himalaya speman 60s,himalaya speman tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,376923.0,himalaya ashvagandha tablet 60s,tablet,himalaya,himalaya ashvagandha 60s,himalaya ashvagandha tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,376924.0,himalaya arjuna tablet 60s,tablet,himalaya,himalaya arjuna 60s,himalaya arjuna tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,377004.0,himalaya pilex tablet 60s,tablet,himalaya,himalaya pilex 60s,himalaya pilex tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,380026.0,himalaya methi tablet 60s,tablet,himalaya,himalaya methi 60s,himalaya methi tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,381044.0,himalaya shatavari tablets 60s,tablet,himalaya,himalaya shatavari 60s,himalaya shatavari tablet 60s,0.6666666666666667,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6666666666666667
,tablet,1.0,himalaya,himalaya,himalaya,362470.0,himalaya wellness pure herbs meshashringi metabolic wellness tablet 60s,tablet,himalaya,himalaya wellness pure herbs meshashringi metabolic 60s,himalaya wellness pure herbs meshashringi metabolic wellness tablet 60s,0.6546536707079772,himalaya meshashringi tablet 60's,himalaya meshashringi 60s,himalaya meshashringi,0.6666666666666667,60,60,0.0,himalaya meshashringi tablet 60s,2.0,,,2.0,,,0,840209,,Reckitt Benckiser India Pvt Ltd,,,82,20,0.6546536707079772
,tablet,1.0,himalaya,himalaya,himalaya,210921.0,himalaya healthcare platenza tablet 20s,tablet,himalaya,himalaya healthcare platenza 20s,himalaya healthcare platenza tablet 20s,0.5669467095138409,himalaya platenza tablet (pack of 3 x 20's),himalaya platenza pack of 3 x 20s,himalaya platenza,0.5669467095138409,20,20,0.0,himalaya platenza tablet pack of 3 x 20s,2.0,,,2.0,,,0,1026720,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.5669467095138409
,tablet,1.0,himalaya,himalaya,himalaya,210921.0,himalaya healthcare platenza tablet 20s,tablet,himalaya,himalaya healthcare platenza 20s,himalaya healthcare platenza tablet 20s,0.8660254037844387,himalaya platenza tablet 20's,himalaya platenza 20s,himalaya platenza,0.8660254037844387,20,20,0.0,himalaya platenza tablet 20s,2.0,,,2.0,,,0,1060737,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.8660254037844387
,tablet,1.0,himalaya wellness,himalaya,himalaya,362374.0,himalaya wellness pure herbs triphala bowel wellness tablet 60s,tablet,himalaya,himalaya wellness pure herbs triphala bowel 60s,himalaya wellness pure herbs triphala bowel wellness tablet 60s,0.7559289460184544,himalaya wellness triphala tablet 60's,himalaya wellness triphala 60s,himalaya wellness triphala,0.7559289460184544,60,60,0.0,himalaya wellness triphala tablet 60s,2.0,,,2.0,,,0,15789,,Reckitt Benckiser India Pvt Ltd,,,82,2,0.7559289460184544
,tablet,1.0,himalaya wellness,himalaya,himalaya,377139.0,himalaya wellness pure herbs triphala bowel wellness tablet 60s,tablet,himalaya,himalaya wellness pure herbs triphala bowel 60s,himalaya wellness pure herbs triphala bowel wellness tablet 60s,0.7559289460184544,himalaya wellness triphala tablet 60's,himalaya wellness triphala 60s,himalaya wellness triphala,0.7559289460184544,60,60,0.0,himalaya wellness triphala tablet 60s,2.0,,,2.0,,,0,15789,,Reckitt Benckiser India Pvt Ltd,,,82,2,0.7559289460184544
,tablet,1.0,himalaya wellness,himalaya,himalaya,362399.0,himalaya wellness pure herbs guduchi immunity wellness tablet 60s,tablet,himalaya,himalaya wellness pure herbs guduchi immunity 60s,himalaya wellness pure herbs guduchi immunity wellness tablet 60s,0.7559289460184544,himalaya wellness guduchi tablet 60's,himalaya wellness guduchi 60s,himalaya wellness guduchi,0.7559289460184544,60,60,0.0,himalaya wellness guduchi tablet 60s,2.0,,,2.0,,,0,368578,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.7559289460184544
,tablet,1.0,himalaya wellness,himalaya,himalaya,364516.0,himalaya wellness pure herbs shigru bone & joint wellness tablet 60s,tablet,himalaya,himalaya wellness pure herbs shigru bone & joint 60s,himalaya wellness pure herbs shigru bone & joint wellness tablet 60s,0.7071067811865475,himalaya wellness shigru tablet 60's,himalaya wellness shigru 60s,himalaya wellness shigru,0.7071067811865475,60,60,0.0,himalaya wellness shigru tablet 60s,2.0,,,2.0,,,0,406653,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.7071067811865475
,tablet,1.0,himalaya wellness,himalaya,himalaya,362410.0,himalaya wellness pure herbs tulasi respiratory wellness tablet 60s,tablet,himalaya,himalaya wellness pure herbs tulasi respiratory 60s,himalaya wellness pure herbs tulasi respiratory wellness tablet 60s,0.7559289460184544,himalaya wellness tulasi tablets 60's,himalaya wellness tulasi 60s,himalaya wellness tulasi,0.7559289460184544,60,60,0.0,himalaya wellness tulasi tablet 60s,2.0,,,2.0,,,0,407397,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.7559289460184544
,tablet,1.0,himalaya wellness,himalaya,himalaya,377137.0,himalaya wellness pure herbs brahmi mind wellness tablet 60s,tablet,himalaya,himalaya wellness pure herbs brahmi mind 60s,himalaya wellness pure herbs brahmi mind wellness tablet 60s,0.7559289460184544,himalaya wellness brahmi tablet 60's,himalaya wellness brahmi 60s,himalaya wellness brahmi,0.7559289460184544,60,60,0.0,himalaya wellness brahmi tablet 60s,2.0,,,2.0,,,0,407398,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.7559289460184544
,tablet,1.0,himalaya wellness,himalaya,himalaya,381044.0,himalaya shatavari tablets 60s,tablet,himalaya,himalaya shatavari 60s,himalaya shatavari tablet 60s,0.8660254037844387,himalaya wellness shatavari tablet 60's,himalaya wellness shatavari 60s,himalaya wellness shatavari,0.8660254037844387,60,60,0.0,himalaya wellness shatavari tablet 60s,2.0,,,2.0,,,0,407399,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.8660254037844387
,tablet,1.0,himalaya wellness,himalaya,himalaya,364513.0,himalaya wellness pure herbs shallaki tablet 60s,tablet,himalaya,himalaya wellness pure herbs shallaki 60s,himalaya wellness pure herbs shallaki tablet 60s,0.8164965809277261,himalaya wellness shallaki tablet 60's,himalaya wellness shallaki 60s,himalaya wellness shallaki,0.8164965809277261,60,60,0.0,himalaya wellness shallaki tablet 60s,2.0,,,2.0,,,0,407400,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.8164965809277261
,tablet,1.0,himalaya wellness,himalaya,himalaya,364517.0,himalaya wellness pure herbs vrikshamla weight wellness tablet 60s,tablet,himalaya,himalaya wellness pure herbs vrikshaa weight 60s,himalaya wellness pure herbs vrikshamla weight wellness tablet 60s,0.7559289460184544,himalaya wellness vrikshamla tablet 60's,himalaya wellness vrikshaa 60s,himalaya wellness vrikshamla,0.7559289460184544,60,60,0.0,himalaya wellness vrikshamla tablet 60s,2.0,,,2.0,,,0,407861,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.7559289460184544
,tablet,1.0,himalaya wellness,himalaya,himalaya,377129.0,himalaya wellness pure herbs neem skin wellness tablet 60s,tablet,himalaya,himalaya wellness pure herbs neem skin 60s,himalaya wellness pure herbs neem skin wellness tablet 60s,0.7559289460184544,himalaya wellness neem tablet 60's,himalaya wellness neem 60s,himalaya wellness neem,0.7559289460184544,60,60,0.0,himalaya wellness neem tablet 60s,2.0,,,2.0,,,0,412552,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.7559289460184544
,tablet,1.0,himalaya wellness,himalaya,himalaya,376924.0,himalaya arjuna tablet 60s,tablet,himalaya,himalaya arjuna 60s,himalaya arjuna tablet 60s,0.8660254037844387,himalaya wellness arjuna tablet 60's,himalaya wellness arjuna 60s,himalaya wellness arjuna,0.8660254037844387,60,60,0.0,himalaya wellness arjuna tablet 60s,2.0,,,2.0,,,0,801324,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.8660254037844387
,tablet,1.0,himalaya wellness,himalaya,himalaya,376923.0,himalaya ashvagandha tablet 60s,tablet,himalaya,himalaya ashvagandha 60s,himalaya ashvagandha tablet 60s,0.8660254037844387,himalaya wellness ashvagandha tablet 60's,himalaya wellness ashvagandha 60s,himalaya wellness ashvagandha,0.8660254037844387,60,60,0.0,himalaya wellness ashvagandha tablet 60s,2.0,,,2.0,,,0,814310,,Reckitt Benckiser India Pvt Ltd,,,82,2,0.8660254037844387
,tablet,1.0,himalaya wellness,himalaya,himalaya,380593.0,himalaya wellness pure herbs ashvagandha tablet 60s,tablet,himalaya,himalaya wellness pure herbs ashvagandha 60s,himalaya wellness pure herbs ashvagandha tablet 60s,0.8164965809277261,himalaya wellness ashvagandha tablet 60's,himalaya wellness ashvagandha 60s,himalaya wellness ashvagandha,0.8660254037844387,60,60,0.0,himalaya wellness ashvagandha tablet 60s,2.0,,,2.0,,,0,814310,,Reckitt Benckiser India Pvt Ltd,,,82,2,0.8164965809277261
,tablet,1.0,himalaya wellness,himalaya,himalaya,210913.0,himalaya hadjod tablet 60s,tablet,himalaya,himalaya hadjod 60s,himalaya hadjod tablet 60s,0.8660254037844387,himalaya wellness hadjod tablet 60's,himalaya wellness hadjod 60s,himalaya wellness hadjod,0.8660254037844387,60,60,0.0,himalaya wellness hadjod tablet 60s,2.0,,,2.0,,,0,840206,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.8660254037844387
,tablet,1.0,himalaya gokshura,himalaya,himalaya,364509.0,himalaya wellness pure herbs gokshura tablet 60s,tablet,himalaya,himalaya wellness pure herbs gokshura 60s,himalaya wellness pure herbs gokshura tablet 60s,0.6123724356957946,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.6123724356957946
,tablet,1.0,himalaya gokshura,himalaya,himalaya,210838.0,himalaya bresol tablet 60s,tablet,himalaya,himalaya bresol 60s,himalaya bresol tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,210857.0,himalaya cystone tablet 60s,tablet,himalaya,himalaya cystone 60s,himalaya cystone tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,210913.0,himalaya hadjod tablet 60s,tablet,himalaya,himalaya hadjod 60s,himalaya hadjod tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,210971.0,himalaya lukol tablet 60s,tablet,himalaya,himalaya lukol 60s,himalaya lukol tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,210978.0,himalaya menosan tablet 60s,tablet,himalaya,himalaya menosan 60s,himalaya menosan tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,211024.0,himalaya pilex tablet 60s,tablet,himalaya,himalaya pilex 60s,himalaya pilex tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,211044.0,himalaya reosto tablet 60s,tablet,himalaya,himalaya reosto 60s,himalaya reosto tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,211052.0,himalaya rumalaya tablet 60s,tablet,himalaya,himalaya rumalaya 60s,himalaya rumalaya tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,211056.0,himalaya septilin tablet 60s,tablet,himalaya,himalaya septilin 60s,himalaya septilin tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,364394.0,himalaya abana tablet 60s,tablet,himalaya,himalaya abana 60s,himalaya abana tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,364419.0,himalaya confido tablet 60s,tablet,himalaya,himalaya confido 60s,himalaya confido tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,364423.0,himalaya diabecon tablet 60s,tablet,himalaya,himalaya diabecon 60s,himalaya diabecon tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,364483.0,himalaya purim tablet 60s,tablet,himalaya,himalaya purim 60s,himalaya purim tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,376669.0,himalaya speman tablet 60s,tablet,himalaya,himalaya speman 60s,himalaya speman tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,376923.0,himalaya ashvagandha tablet 60s,tablet,himalaya,himalaya ashvagandha 60s,himalaya ashvagandha tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,376924.0,himalaya arjuna tablet 60s,tablet,himalaya,himalaya arjuna 60s,himalaya arjuna tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,377004.0,himalaya pilex tablet 60s,tablet,himalaya,himalaya pilex 60s,himalaya pilex tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,380026.0,himalaya methi tablet 60s,tablet,himalaya,himalaya methi 60s,himalaya methi tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya gokshura,himalaya,himalaya,381044.0,himalaya shatavari tablets 60s,tablet,himalaya,himalaya shatavari 60s,himalaya shatavari tablet 60s,0.5773502691896258,himalaya gokshura tribulus tablets 60's,himalaya gokshura tribulus 60s,himalaya gokshura tribulus,0.6123724356957946,60,60,0.0,himalaya gokshura tribulus tablet 60s,2.0,,,2.0,,,0,921701,,Reckitt Benckiser India Pvt Ltd,,,245,20,0.5773502691896258
,tablet,1.0,himalaya wellness,himalaya,himalaya,211112.0,himalaya wellness pure herbs amalaki tablet 60s,tablet,himalaya,himalaya wellness pure herbs amalaki 60s,himalaya wellness pure herbs amalaki tablet 60s,0.6123724356957946,himalaya wellness haridra tablet 60's,himalaya wellness haridra 60s,himalaya wellness haridra,0.6123724356957946,60,60,0.0,himalaya wellness haridra tablet 60s,2.0,,,2.0,,,0,923267,,Reckitt Benckiser India Pvt Ltd,,,82,41,0.6123724356957946
,tablet,1.0,himalaya wellness,himalaya,himalaya,211121.0,himalaya wellness pure herbs tagara tablet 60s,tablet,himalaya,himalaya wellness pure herbs tagara 60s,himalaya wellness pure herbs tagara tablet 60s,0.6123724356957946,himalaya wellness haridra tablet 60's,himalaya wellness haridra 60s,himalaya wellness haridra,0.6123724356957946,60,60,0.0,himalaya wellness haridra tablet 60s,2.0,,,2.0,,,0,923267,,Reckitt Benckiser India Pvt Ltd,,,82,41,0.6123724356957946
,tablet,1.0,himalaya wellness,himalaya,himalaya,211126.0,himalaya wellness pure herbs yashtimadhu tablet 60s,tablet,himalaya,himalaya wellness pure herbs yashtimadhu 60s,himalaya wellness pure herbs yashtimadhu tablet 60s,0.6123724356957946,himalaya wellness haridra tablet 60's,himalaya wellness haridra 60s,himalaya wellness haridra,0.6123724356957946,60,60,0.0,himalaya wellness haridra tablet 60s,2.0,,,2.0,,,0,923267,,Reckitt Benckiser India Pvt Ltd,,,82,41,0.6123724356957946
,tablet,1.0,himalaya wellness,himalaya,himalaya,364509.0,himalaya wellness pure herbs gokshura tablet 60s,tablet,himalaya,himalaya wellness pure herbs gokshura 60s,himalaya wellness pure herbs gokshura tablet 60s,0.6123724356957946,himalaya wellness haridra tablet 60's,himalaya wellness haridra 60s,himalaya wellness haridra,0.6123724356957946,60,60,0.0,himalaya wellness haridra tablet 60s,2.0,,,2.0,,,0,923267,,Reckitt Benckiser India Pvt Ltd,,,82,41,0.6123724356957946
,tablet,1.0,himalaya wellness,himalaya,himalaya,364513.0,himalaya wellness pure herbs shallaki tablet 60s,tablet,himalaya,himalaya wellness pure herbs shallaki 60s,himalaya wellness pure herbs shallaki tablet 60s,0.6123724356957946,himalaya wellness haridra tablet 60's,himalaya wellness haridra 60s,himalaya wellness haridra,0.6123724356957946,60,60,0.0,himalaya wellness haridra tablet 60s,2.0,,,2.0,,,0,923267,,Reckitt Benckiser India Pvt Ltd,,,82,41,0.6123724356957946
,tablet,1.0,himalaya wellness,himalaya,himalaya,380593.0,himalaya wellness pure herbs ashvagandha tablet 60s,tablet,himalaya,himalaya wellness pure herbs ashvagandha 60s,himalaya wellness pure herbs ashvagandha tablet 60s,0.6123724356957946,himalaya wellness haridra tablet 60's,himalaya wellness haridra 60s,himalaya wellness haridra,0.6123724356957946,60,60,0.0,himalaya wellness haridra tablet 60s,2.0,,,2.0,,,0,923267,,Reckitt Benckiser India Pvt Ltd,,,82,41,0.6123724356957946
